species,sector,banda,total,trans_official_name,file,data,transecte,horari_inici,horari_final,ornitoleg,month,calendar_date
Hirundo rustica,s1,>100 m,0,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Hirundo rustica,s2,>100 m,0,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Hirundo rustica,s3,>100 m,0,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Hirundo rustica,s4,>100 m,0,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Hirundo rustica,s5,>100 m,1,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Hirundo rustica,s6,>100 m,4,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Columba livia,s1,0-25 m,4,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Columba livia,s2,0-25 m,0,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Columba livia,s3,0-25 m,0,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Columba livia,s4,0-25 m,0,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Columba livia,s5,0-25 m,0,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
Columba livia,s6,0-25 m,0,01. Vilasacra_Fortia,2024_cens_01_abril_vilasacra.xlsx,05/04/2024,Fortià_Vila-sacra,16:17,17:56,AO,abril,2024-04-05T00:00:00Z
