species,sector,banda,total,trans_official_name,file,data,transecte,horari_inici,horari_final,ornitoleg,month,calendar_date
Streptopelia decaocto,s3,25-100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Streptopelia decaocto,s4,25-100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Streptopelia decaocto,s5,25-100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Streptopelia decaocto,s6,25-100 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Streptopelia decaocto,s1,>100 m,2,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Streptopelia decaocto,s2,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Streptopelia decaocto,s3,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Streptopelia decaocto,s4,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Streptopelia decaocto,s5,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Streptopelia decaocto,s6,>100 m,2,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s1,0-25 m,6,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s2,0-25 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s3,0-25 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s4,0-25 m,7,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s5,0-25 m,4,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s6,0-25 m,7,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s1,25-100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s2,25-100 m,2,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s3,25-100 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s4,25-100 m,3,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s5,25-100 m,2,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s6,25-100 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s1,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s2,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s3,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s4,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s5,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Carduelis carduelis,s6,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s1,0-25 m,4,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s2,0-25 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s3,0-25 m,5,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s4,0-25 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s5,0-25 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s6,0-25 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s1,25-100 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s2,25-100 m,2,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s3,25-100 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s4,25-100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s5,25-100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s6,25-100 m,1,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s1,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s2,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s3,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s4,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s5,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Sylvia atricapilla,s6,>100 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Serinus serinus,s1,0-25 m,4,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Serinus serinus,s2,0-25 m,3,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Serinus serinus,s3,0-25 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Serinus serinus,s4,0-25 m,3,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Serinus serinus,s5,0-25 m,0,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
Serinus serinus,s6,0-25 m,2,04. Cortalet_Mata,2024_cens_01_abril_cortalet_mata.xlsx,13/04/2024,Cortalet_Matà,07:15,10:01,AO,abril,2024-04-13T00:00:00Z
