species,sector,banda,total,trans_official_name,file,data,transecte,horari_inici,horari_final,ornitoleg,month,calendar_date
Columba livia,s3,>100 m,5,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Columba livia,s4,>100 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Columba livia,s5,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Columba livia,s6,>100 m,2,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s1,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s2,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s3,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s4,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s5,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s6,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s1,25-100 m,7,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s2,25-100 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s3,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s4,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s5,25-100 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s6,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s1,>100 m,4,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s2,>100 m,3,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s3,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s4,>100 m,3,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s5,>100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Larus michaellis,s6,>100 m,7,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s1,0-25 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s2,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s3,0-25 m,6,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s4,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s5,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s6,0-25 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s1,25-100 m,2,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s2,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s3,25-100 m,2,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s4,25-100 m,1,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s5,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
Streptopelia decaocto,s6,25-100 m,0,05. Muga,2024_cens_01_abril_muga.xlsx,14/04/2024,Muga,07:35,09:23,AO,abril,2024-04-14T00:00:00Z
